"filename", "language", "JavaScript", "YAML", "JSON", "Markdown", "SCSS", "HTML", "Vue.js", "XML", "comment", "blank", "total"
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/pm/pmNodeNetworkState.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 2, 5, 43
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/pm/pmNodeState.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 5, 5, 52
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/pm/webssh/webssh.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 11, 11, 61
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/pmDeploy/pmDeploy.js", "JavaScript", 85, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/code.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/dept.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/dict.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/dictDetail.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 7, 53
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/job.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/menu.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/role.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 1, 9, 58
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/timing.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/system/user.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/tools/alipay.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/tools/email.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/tools/localStorage.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/home/xbj/桌面/parallel-monitor/monitor_web/src/api/tools/qiniu.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/fonts/fonts.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/CPU.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/交换区.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/内存条.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/报警中心.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/报警方案.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/报警记录.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/显卡.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/磁盘.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/管理.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/网卡.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/节点.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/返回.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/返回顶部.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/集群信息.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svg/首页.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/icons/svgo.yml", "YAML", 0, 5, 0, 0, 0, 0, 0, 0, 13, 5, 23
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/btn.scss", "SCSS", 0, 0, 0, 0, 83, 0, 0, 0, 0, 17, 100
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/eladmin.scss", "SCSS", 0, 0, 0, 0, 112, 0, 0, 0, 3, 5, 120
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/element-ui.scss", "SCSS", 0, 0, 0, 0, 61, 0, 0, 0, 5, 14, 80
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/element-variables.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 10, 9, 32
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/index.scss", "SCSS", 0, 0, 0, 0, 148, 0, 0, 0, 4, 34, 186
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/mixin.scss", "SCSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 11, 67
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/sidebar.scss", "SCSS", 0, 0, 0, 0, 175, 0, 0, 0, 9, 37, 221
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/transition.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 4, 10, 49
"/home/xbj/桌面/parallel-monitor/monitor_web/src/assets/styles/variables.scss", "SCSS", 0, 0, 0, 0, 26, 0, 0, 0, 4, 6, 36
"/home/xbj/桌面/parallel-monitor/monitor_web/src/components/Breadcrumb/index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 73, 0, 3, 5, 81
"/home/xbj/桌面/parallel-monitor/monitor_web/src/components/Crud/CRUD.operation.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 263, 0, 2, 4, 269
"/home/xbj/桌面/parallel-monitor/monitor_web/src/components/Crud/Pagination.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"/home/xbj/桌面/parallel-monitor/monitor_web/src/components/Crud/RR.operation.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"/home/xbj/桌面/parallel-monitor/monitor_web/src/components/Crud/UD.operation.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 109, 0, 0, 1, 110
